profile,seed,mask_id,run_id,features_count,selected_features,selected_indices,validation_macro_f1,validation_attack_recall,validation_fpr,fitness,feature_reduction_ratio,accepted,feature_mask_path,run_summary_path
balanced_current,42,balanced_current_seed_42,run_20260508_120708,9,flow_duration;Header_Length;Protocol Type;rst_flag_number;fin_count;urg_count;rst_count;HTTP;Std,0 1 2 7 12 13 14 15 25,0.8740089472719299,0.887979797979798,0.14053333333333334,0.7586564506142401,0.6785714285714286,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/balanced_current_seed_42/runs/run_20260508_120708/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/balanced_current_seed_42/runs/run_20260508_120708/artifacts/run_summary.json
balanced_current,123,balanced_current_seed_123,run_20260508_121530,11,flow_duration;Protocol Type;Rate;rst_flag_number;syn_count;rst_count;HTTP;HTTPS;DNS;SSH;ICMP,0 2 4 7 11 14 15 16 17 18 22,0.866948010415687,0.8937575757575758,0.1612222222222222,0.7490103646909706,0.6071428571428572,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/balanced_current_seed_123/runs/run_20260508_121530/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/balanced_current_seed_123/runs/run_20260508_121530/artifacts/run_summary.json
balanced_current,2026,balanced_current_seed_2026,run_20260508_122348,10,flow_duration;syn_count;rst_count;HTTP;ARP;ICMP;Tot sum;Std;IAT;Number,0 11 14 15 21 22 23 25 26 27,0.8788753950209489,0.8857979797979798,0.12813333333333332,0.7573503452376775,0.6428571428571428,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/balanced_current_seed_2026/runs/run_20260508_122348/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/balanced_current_seed_2026/runs/run_20260508_122348/artifacts/run_summary.json
conservative,42,conservative_seed_42,run_20260508_123207,12,flow_duration;Protocol Type;Duration;Rate;syn_flag_number;urg_count;rst_count;TCP;UDP;Std;IAT;Number,0 2 3 4 6 13 14 19 20 25 26 27,0.8876266752705805,0.8950303030303031,0.11993333333333334,0.7574875904383241,0.5714285714285714,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/conservative_seed_42/runs/run_20260508_123207/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/conservative_seed_42/runs/run_20260508_123207/artifacts/run_summary.json
conservative,123,conservative_seed_123,run_20260508_123914,12,flow_duration;fin_flag_number;syn_flag_number;rst_flag_number;psh_flag_number;rst_count;HTTP;DNS;SSH;ICMP;IAT;Number,0 5 6 7 8 14 15 17 18 22 26 27,0.8826511891994195,0.8805858585858586,0.1146888888888889,0.7511158612996226,0.5714285714285714,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/conservative_seed_123/runs/run_20260508_123914/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/conservative_seed_123/runs/run_20260508_123914/artifacts/run_summary.json
conservative,2026,conservative_seed_2026,run_20260508_124713,12,flow_duration;Duration;Rate;psh_flag_number;syn_count;fin_count;urg_count;rst_count;HTTP;ARP;ICMP;IAT,0 3 4 8 11 12 13 14 15 21 22 26,0.8707534939866741,0.912989898989899,0.17375555555555555,0.7492682827315088,0.5714285714285714,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/conservative_seed_2026/runs/run_20260508_124713/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/conservative_seed_2026/runs/run_20260508_124713/artifacts/run_summary.json
fpr_aware,42,fpr_aware_seed_42,run_20260508_125530,10,flow_duration;Protocol Type;Rate;urg_count;rst_count;HTTP;SSH;ARP;ICMP;Tot sum,0 2 4 13 14 15 18 21 22 23,0.8693482093804153,0.8950303030303031,0.15764444444444445,0.6504203607580741,0.6428571428571428,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/fpr_aware_seed_42/runs/run_20260508_125530/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/fpr_aware_seed_42/runs/run_20260508_125530/artifacts/run_summary.json
fpr_aware,123,fpr_aware_seed_123,run_20260508_125932,11,flow_duration;Protocol Type;Rate;syn_flag_number;rst_flag_number;psh_flag_number;urg_count;rst_count;DNS;ICMP;Std,0 2 4 6 7 8 13 14 17 22 25,0.871612600100127,0.9033939393939394,0.16186666666666666,0.6497630339511737,0.6071428571428572,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/fpr_aware_seed_123/runs/run_20260508_125932/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/fpr_aware_seed_123/runs/run_20260508_125932/artifacts/run_summary.json
fpr_aware,2026,fpr_aware_seed_2026,run_20260508_130328,10,flow_duration;syn_flag_number;ack_flag_number;urg_count;rst_count;SSH;UDP;Min;IAT;Number,0 6 9 13 14 18 20 24 26 27,0.8795924978030802,0.8803434343434343,0.12077777777777778,0.6560696688854893,0.6428571428571428,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/fpr_aware_seed_2026/runs/run_20260508_130328/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/fpr_aware_seed_2026/runs/run_20260508_130328/artifacts/run_summary.json
compression,42,compression_seed_42,run_20260508_130725,8,flow_duration;Protocol Type;rst_flag_number;ack_flag_number;urg_count;rst_count;Min;IAT,0 2 7 9 13 14 24 26,0.8697795338047655,0.8635353535353535,0.12302222222222223,0.5218825518951676,0.7142857142857143,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/compression_seed_42/runs/run_20260508_130725/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/compression_seed_42/runs/run_20260508_130725/artifacts/run_summary.json
compression,123,compression_seed_123,run_20260508_131127,8,flow_duration;Header_Length;Duration;psh_flag_number;urg_count;HTTPS;TCP;Std,0 1 3 8 13 16 19 25,0.8662188206745874,0.87389898989899,0.14155555555555555,0.522174922602806,0.7142857142857143,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/compression_seed_123/runs/run_20260508_131127/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/compression_seed_123/runs/run_20260508_131127/artifacts/run_summary.json
compression,2026,compression_seed_2026,run_20260508_131525,8,flow_duration;Rate;rst_flag_number;rst_count;HTTP;TCP;UDP;Number,0 4 7 14 15 19 20 27,0.8577026660047522,0.9161212121212121,0.20353333333333334,0.5263612897123328,0.7142857142857143,True,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/compression_seed_2026/runs/run_20260508_131525/artifacts/feature_mask.json,experiments/qi-fl-ids-iot-final/outputs/qga_feature_selection/calibration/compression_seed_2026/runs/run_20260508_131525/artifacts/run_summary.json
